canonicalsmiles,anode_limit,type,R,product,comment,molwt,capacity,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio,idx
F[B-](F)(F)C1CCCCC1.[Na+],3.699619780794327,,,,2,173.9500000000001,154.0752451215227,11.0,11.0,5.0,1.0,0.0,173.95,162.862,0.0,0.1720999999999997,35.913,60.0,1.0,-0.44869143833363206,0.9090909090909091,1.3636363636363635,1.6363636363636365,12.003796296296297,-4.526944444444443,0.3409094307802241,0.950889185107547,0.3095315131703151,0.8836427689310064,217.05209240873972,619.6348474308471,701.2277689777908,2.1025140707492778,0.3668793483611424,0.004071109193764335,0.6180758694849847,0.0,9.0,0.0,0.48087218107130386,0.27272727272727276,0.5000000000000001,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,0.0,10
COC[B-](F)(F)(F).[Na+],3.642938260351536,,,,2,135.85700000000006,197.27646634983017,8.0,8.0,6.0,2.0,1.0,135.857,130.817,9.23,-1.9765999999999988,20.953999999999994,44.0,1.0,-0.44747666919774326,1.375,1.75,1.75,10.993472222222222,-4.715277777777778,0.19328008443012326,0.8920784600684275,0.4518805385076269,0.9640829498291151,127.3463695650605,271.6923017436831,281.8142378639109,1.5829625514855377,0.43253768000619686,0.007570557002306775,0.4957252328471451,0.0,9.0,0.0,0.5029983307900301,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.0,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.0,11
[Na+].[Na+].[O-]B([O-])C(F)(F)F,3.5655270316618317,,,,2,157.795,339.6988356904704,9.0,9.0,8.0,0.0,2.0,157.795,157.795,46.12,-7.6953000000000005,11.809000000000001,42.0,1.0,-0.8866808455032353,1.0,1.1111111111111112,1.1111111111111112,10.55324074074074,-5.111111111111111,0.11898448944454464,0.845063645803117,0.5346657222432948,0.8299633867105198,145.16398433391154,225.33853780763297,271.5041909267114,1.426291085825282,0.41788931081463065,0.005717419444766737,0.30641532160496626,0.0,8.0,0.0,0.026272401179909248,0.1111111111111111,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,12
CB([O-])[O-].[Na+].[Na+],3.2772676219095023,,,,2,103.82499999999999,516.2800652807877,6.0,6.0,5.0,0.0,2.0,103.825,100.801,46.12,-8.167000000000002,11.618,24.0,1.0,-0.8932932118385314,1.1666666666666667,1.1666666666666667,1.1666666666666667,8.972222222222221,-1.6666666666666667,0.2564677231897609,0.9110462051852528,0.41230427116093554,0.6238251198720592,52.49249917569962,79.42226622698003,127.31495365763533,1.1173170521140954,0.29299930967429905,0.011884081148128053,0.2645299580021237,0.0,8.0,0.0,-0.12071827966647605,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,13
[Na+].[Na+].[O-]B([O-])c1ccccc1,3.2663177208890413,,,,2,165.89600000000002,323.1107306853557,11.0,11.0,5.0,1.0,2.0,165.896,160.85599999999997,46.12,-7.889600000000006,31.83,46.0,1.0,-0.8894582501667417,0.9090909090909091,1.3636363636363635,1.6363636363636365,10.17314814814815,-1.8414814814814815,0.4508654452521293,0.9706414574038054,0.24053099835367797,0.7661154691491122,138.10683148492421,439.8841759272655,574.1747734396015,1.8634791209614852,0.0076933352994767055,0.005547267002738686,0.08405212915947996,1.0,8.0,0.0,-0.07492164365037232,0.375,0.3125,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,14
[Na+].[Na+].[O-]B([O-])c1cccnc1,3.12226556874093,,,,2,166.88400000000001,321.1978247032536,11.0,11.0,6.0,1.0,3.0,166.884,162.85199999999998,59.01,-8.494600000000005,29.625,46.0,1.0,-0.8894202726276836,1.2727272727272727,1.9090909090909092,2.1818181818181817,10.133148148148148,-1.9039814814814815,0.45918567036808283,0.9719111216562558,0.23534819226176065,0.770500287690351,134.11057530429878,439.0611028758265,569.8389862928599,1.8505583911044166,0.00742999328921475,0.005745261221511242,0.08042867068343859,1.0,8.0,0.0,-0.0728459462491161,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,15
[Na+].[Na+].[O-]B([O-])c1ccc(F)cc1,3.435815331398349,,,,2,183.886,291.5000477348889,12.0,12.0,6.0,1.0,2.0,183.88599999999997,179.85399999999996,46.12,-7.750500000000003,31.788,52.0,1.0,-0.8894582329317866,1.0,1.4166666666666667,1.75,12.146001511715797,-2.0133333333333328,0.5453470539472096,0.9823894674732545,0.1868446793398603,0.9457759307933937,139.44626521340317,705.8532345894491,746.3218417890188,2.0803219246555824,0.12314619187542718,0.006782368314748444,0.17701535883524172,1.0,8.0,0.0,-0.07491719316396793,0.375,0.25,0.125,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,16
[Na+].[Na+].[O-]B([O-])c1ccc(C(F)(F)F)cc1,3.4880368896719056,,,,2,233.89299999999997,229.17649428489858,15.0,15.0,8.0,1.0,2.0,233.89299999999994,229.86099999999993,46.12,-6.870800000000002,36.832000000000015,70.0,1.0,-0.8894582482788702,0.9333333333333333,1.3333333333333333,1.6,11.964434051398337,-4.430758692365835,0.6017026290457563,0.9875485559218848,0.15731449296425262,0.9203123662695292,234.41430018799232,1371.357306172988,1490.0998361369,2.5725738398763958,0.0829090406701084,0.003926007779949729,0.24154683136659075,0.8571428571428571,8.0,0.0,-0.07492110027210885,0.3684210526315789,0.21052631578947367,0.10526315789473684,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.0,17
O=[N+]([O-])c1ccc(B([O-])[O-])cc1.[Na+].[Na+].[Na+],3.5362583598527784,,,,2,233.88300000000004,343.77943957733845,15.0,15.0,9.0,2.0,4.0,233.883,229.851,89.26,-10.977400000000003,38.484400000000015,62.0,1.0,-0.8894582076352227,1.0,1.4,1.6666666666666667,10.28444822373394,-2.077959183673469,0.637889629179379,0.9901143606731653,0.14026244254528394,0.8661918063849192,177.4071242838105,1095.57907776585,1264.822721353468,2.32924479830169,0.008816439147378079,0.0048825085795270095,0.07722010283951423,1.0,8.0,0.0,-0.07491072792884515,0.3157894736842105,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,18
[Na+].[Na+].[O-]B([O-])c1ccc2ccccc2c1,3.0928064165437115,,,,2,215.95600000000002,248.21156984653248,15.0,15.0,5.0,1.0,2.0,215.956,208.89999999999995,46.12,-6.736400000000002,49.33600000000002,64.0,1.0,-0.8894580130734958,0.8,1.4,2.0,10.61683626228269,-1.8846239606953896,0.49567090530765356,0.9774666685363882,0.21108981950907646,0.8655091752504285,251.94827996925136,1033.0367826790173,1193.5595973088512,2.3955251741686907,0.053209363721285104,0.003435265266966927,0.13047009609003296,1.0,8.0,0.0,-0.07489237075938587,0.45454545454545464,0.31818181818181823,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,19
[Na+].[Na+].[O-]B([O-])c1ccsc1,3.2750253956629973,,,,2,171.925,311.7800074321813,10.0,10.0,6.0,1.0,3.0,171.92499999999998,168.90099999999998,46.12,-7.828100000000003,29.706999999999997,42.0,1.0,-0.8894384348552479,1.3,1.9,2.1,10.040925925925926,-1.8043981481481481,0.4410472626965975,0.9692838260043889,0.24594484065800923,0.9394337086339668,129.884245840609,496.1179036596947,528.1031531017778,1.832053719354536,0.1830800440155189,0.007232853396144891,0.22127186260350443,1.0,8.0,0.0,-0.07380238957318655,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,20
