filename,ElectronEnergy(Hart.),ThermalCorrectionGibbs(Hart.),ZeroPointViberationEnergy(Hart.),SolvationEnergy(Hart.),GibssFreeEnergy_298K(Hart.),Voltage,idx,smiles
tp_OLi_mol_77_,-644.0023064,0.056691,0.092399,-0.08071820000009211,-643.9339346,3.193554213606211,77,FC(F)(F)c1ccc(O[Na])cc1
tp_OLi_mol_78_,-511.4424094,0.057499,0.090637,-0.07766950000001316,-511.37194289999996,3.4928723703164217,78,O=[N+](O[Na])c1ccc(O[Na])cc1
tp_OLi_mol_79_,-460.5318491,0.100861,0.133448,-0.09047470000001567,-460.3880148,2.764782865729637,79,[Na]Oc1ccc2ccccc2c1
tp_OLi_mol_80_,-627.646284,0.026778,0.055495,-0.09905379999997876,-627.6630648,2.5663213520239876,80,[Na]Oc1ccsc1
tp_OLi_mol_81_,-307.0680602,0.074097,0.103225,-0.11546650000002501,-307.0062047,3.092526138259418,81,[Na]OC1CCCO1
tp_OLi_mol_82_,-310.4392938,0.123644,0.154384,-0.11645350000003418,-310.2777193,2.7872486666324616,82,[Na]OC1CCCCC1
tp_OLi_mol_83_,-229.6435299,0.040659,0.068054,-0.11445159999999532,-229.6492685,3.0832143685541262,83,COCO[Na]
tp_PF5Li_mol_156_,-1178.5810767,-0.004582,0.028746,-0.06831850000003215,-1178.6252312000001,7.5982444183099584,156,FC(F)(F)P(F)(F)(F)(F)(F)[Na]
tp_PF5Li_mol_157_,-880.7888548,0.018233,0.050655,-0.08106529999997747,-880.8010320999999,6.617836431569268,157,CP(F)(F)(F)(F)(F)[Na]
tp_PF5Li_mol_158_,-1072.1601666,0.054294,0.097301,-0.08354559999997946,-1072.0921171999998,-3.917611924134145,158,FP(F)(F)(F)(F)([Na])c1ccccc1
tp_PF5Li_mol_159_,-1088.1943922,0.042101,0.085976,-0.09456759999989117,-1088.1608827999999,-2.332099454319807,159,FP(F)(F)(F)(F)([Na])c1cccnc1
tp_PF5Li_mol_160_,-1171.7792368,0.056288,0.094239,-0.07403599999997823,-1171.7027458,4.691067466439234,160,Fc1ccc(P(F)(F)(F)(F)(F)[Na])cc1
tp_PF5Li_mol_161_,-1409.6238445,0.063751,0.10654,-0.06775290000018686,-1409.5213064000002,6.969406079184045,161,FC(F)(F)c1ccc(P(F)(F)(F)(F)(F)[Na])cc1
tp_PF5Li_mol_162_,-1277.05199,0.063027,0.104449,-0.06644770000002609,-1276.9509617,5.241988443280206,162,O=[N+](O[Na])c1ccc(P(F)(F)(F)(F)(F)[Na])cc1
tp_PF5Li_mol_163_,-1226.1584023,0.107369,0.147475,-0.07731390000003557,-1225.9808722,4.96816200445916,163,FP(F)(F)(F)(F)([Na])c1ccc2ccccc2c1
tp_PF5Li_mol_164_,-1393.2910499,0.032455,0.069762,-0.07744350000007216,-1393.2662764,4.87024964397782,164,FP(F)(F)(F)(F)([Na])c1ccsc1
tp_PF5Li_mol_165_,-1072.7222948,0.082367,0.118588,-0.08370399999989786,-1072.6050438,4.035150979946508,165,FP(F)(F)(F)(F)([Na])C1CCCO1
tp_PF5Li_mol_166_,-1076.1186211,0.131553,0.16973,-0.07797240000013517,-1075.8953105,6.511096665799204,166,FP(F)(F)(F)(F)([Na])C1CCCCC1
tp_PF5Li_mol_167_,-995.303704,0.04815,0.083424,-0.08077559999992445,-995.2529056,4.292095414310836,167,COCP(F)(F)(F)(F)(F)[Na]
tp_PO2FLi_mol_180_,-929.5441786,-0.009194,0.024264,-0.08187839999993685,-929.6109869999999,5.966684675856939,180,O=P(F)(O[Na])C(F)(F)F
tp_PO2FLi_mol_181_,-631.7573176,0.017735,0.046671,-0.10394189999999526,-631.7968535,5.180580288127224,181,CP(=O)(F)O[Na]
tp_PO2FLi_mol_182_,-823.4897124,0.063361,0.09838,-0.09854369999993651,-823.4265151,5.014211998239082,182,O=P(F)(O[Na])c1ccccc1
tp_PO2FLi_mol_183_,-839.5362723,0.051847,0.087176,-0.09789540000008401,-839.4951447000001,4.9924373690232535,183,O=P(F)(O[Na])c1cccnc1
tp_PO2FLi_mol_184_,-922.7480851,0.052821,0.090147,-0.09418259999995371,-922.6992997,4.96540548115966,184,O=P(F)(O[Na])c1ccc(F)cc1
tp_PO2FLi_mol_185_,-1160.5915807,0.06074,0.102514,-0.087501500000144,-1160.5158282000002,5.378927513605236,185,O=P(F)(O[Na])c1ccc(C(F)(F)F)cc1
tp_PO2FLi_mol_186_,-1028.0188967,0.06028,0.10043,-0.08569570000008753,-1027.9438824000001,5.438226778776002,186,O=[N+](O[Na])c1ccc(P(=O)(F)O[Na])cc1
tp_PO2FLi_mol_187_,-977.1268916,0.10504,0.143517,-0.09806559999992714,-976.9764002,4.295532224696782,187,O=P(F)(O[Na])c1ccc2ccccc2c1
