canonicalsmiles,anode_limit,type,R,product,comment,molwt,capacity,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio,idx
CCCCOC(=O)C(=O)[O-].[Na+],,COOCOO-,CCCC,CCCCCCCC,,168.12400000000008,159.41441369994095,11.0,11.0,5.0,3.0,4.0,168.124,159.052,66.43,-3.9163999999999985,30.873999999999985,58.0,1.0,-0.5390056914396035,1.4545454545454546,2.0,2.3636363636363638,10.133383408919123,-1.7813860544217681,0.7216797424932139,0.99464234864093,0.10337600442101912,0.9077205793270421,125.86571720606189,1105.197500905441,1217.5525443356178,2.698549976484933,0.12145956926654815,0.00721181747878941,0.37885705059969543,0.3333333333333333,8.0,1.0,0.15212168773175538,0.3,0.44999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400
O=C([O-])C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],,COOCOO-,C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,330.03399999999993,81.20796308528483,20.0,20.0,14.0,3.0,4.0,330.03399999999993,330.03399999999993,66.42999999999999,-2.2908,31.995000000000008,112.0,1.0,-0.5390036432732823,0.8,1.15,1.4,12.38847836356765,-7.282031840513984,0.39898222315149917,0.960582724537367,0.2779942972803014,0.9855149921944315,623.6257027838077,2210.8096663275724,2243.3039414294403,2.773581046834369,0.3132777715873105,0.0015802988680472653,0.6911368919371679,0.3333333333333333,8.0,1.0,0.15231009929829464,0.3,0.0,0.2,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,401
CCOCOC(=O)C(=O)[O-].[Na+],,COOCOO-,COCC,CCOCCOCC,,170.09600000000006,157.56625016983867,11.0,11.0,6.0,3.0,5.0,170.096,163.04,75.66,-4.722499999999999,27.59199999999999,58.0,1.0,-0.5390047174935081,1.4545454545454546,2.0,2.3636363636363638,10.053383408919123,-1.8613860544217682,0.669972233822172,0.9920803679009004,0.1256047117970269,0.9142010120923356,125.59809401780038,914.1528452649918,999.9473126514774,2.448617300347655,0.14919451697936661,0.00727878093407031,0.4795446186443095,0.4,8.0,1.0,0.1522092044129773,0.2777777777777778,0.38888888888888895,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402
O=C([O-])C(=O)OC(F)(F)OC(F)(F)C(F)(F)F.[Na+],,COOCOO-,C(F)(F)OC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,,296.02599999999995,90.53728013380207,18.0,18.0,13.0,3.0,5.0,296.02599999999995,296.02599999999995,75.66,-2.9945000000000004,28.133000000000006,100.0,1.0,-0.5390028654224805,0.9444444444444444,1.3333333333333333,1.6111111111111112,12.124097222222222,-6.5096119142101285,0.42827603626882454,0.9675654647253707,0.25262040984603257,0.9216963358716458,544.6169147402109,1987.0580333383004,2155.870600764779,2.8137974007981152,0.21625785706149242,0.0016923755229146832,0.5497400863824519,0.4,8.0,1.0,0.15237920076813918,0.2777777777777778,0.0,0.2777777777777778,0.0,0.38888888888888895,0.0,0.0,0.0,0.0,0.0,403
COCCOC(=O)C(=O)[O-].[Na+],,COOCOO-,CCOC,COCCCCOC,,170.09600000000006,157.56625016983867,11.0,11.0,6.0,3.0,5.0,170.096,163.04,75.66,-5.070099999999999,27.84199999999999,58.0,1.0,-0.5390056829307601,1.3636363636363635,1.9090909090909092,2.272727272727273,10.077827853363567,-1.8369416099773235,0.682055411750746,0.9927367703336502,0.1203067114815863,0.9171698607643256,124.0929466691938,946.0345912276005,1031.4715209233111,2.485494946138771,0.1754967689570291,0.007390991070663439,0.45533025343914474,0.4,8.0,1.0,0.1521233019965421,0.2777777777777778,0.38888888888888895,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404
O=C([O-])C(=O)OC(F)(F)C(F)(F)OC(F)(F)F.[Na+],,COOCOO-,C(F)(F)C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,,296.02599999999995,90.53728013380207,18.0,18.0,13.0,3.0,5.0,296.02599999999995,296.02599999999995,75.66,-2.9945,28.133000000000006,100.0,1.0,-0.5390036363784136,0.8888888888888888,1.2777777777777777,1.5555555555555556,12.233472222222222,-6.295277777777778,0.4591758382511683,0.9718728023410959,0.23550638222703235,0.9473844724002355,494.52855111756,1989.3671927570597,2099.852014374819,2.78246960569589,0.22565813537864354,0.001915732610906467,0.5210600821277938,0.4,8.0,1.0,0.15231140251069122,0.2777777777777778,0.0,0.2777777777777778,0.0,0.38888888888888895,0.0,0.0,0.0,0.0,0.0,405
CCCCCOC(=O)C(=O)[O-].[Na+],,COOCOO-,CCCCC,CCCCCCCCCC,,182.1510000000001,147.13830222666292,12.0,12.0,5.0,4.0,4.0,182.15099999999998,171.063,66.43,-3.526299999999998,35.49099999999999,64.0,1.0,-0.5390056914395965,1.3333333333333333,1.9166666666666667,2.3333333333333335,10.221712490551777,-1.7763903061224486,0.5668182739991132,0.9841488737873758,0.1773442816192272,0.9727449153097297,215.74807730356622,1183.3922315888265,1216.549388193949,2.6795528862608795,0.28137444367212744,0.004508707226813607,0.7222295093859831,0.2857142857142857,8.0,1.0,0.1521216877375253,0.30434782608695654,0.4782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406
O=C([O-])C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],,COOCOO-,C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,380.04099999999994,70.52236176856943,23.0,23.0,16.0,4.0,4.0,380.04099999999994,380.04099999999994,66.42999999999999,-1.6555,36.942,130.0,1.0,-0.5390036432733541,0.6956521739130435,1.0434782608695652,1.3043478260869565,12.65847836356765,-7.797656840513984,0.30733452339225376,0.9408018160407879,0.3389571402616493,0.9296958849758074,958.852994021439,2629.9539881364904,2828.8325576539764,2.9057445791379433,0.3264765136755425,0.0009695916796136324,0.7994723706453233,0.2857142857142857,8.0,1.0,0.1523100992394258,0.30434782608695654,0.0,0.17391304347826086,0.0,0.4782608695652173,0.0,0.0,0.0,0.0,0.0,407
CCCOCOC(=O)C(=O)[O-].[Na+],,COOCOO-,COCCC,CCCOCCOCCC,,184.12300000000008,145.5624169109176,12.0,12.0,6.0,4.0,5.0,184.123,175.051,75.66,-4.332399999999999,32.20899999999999,64.0,1.0,-0.5390047174934981,1.4166666666666667,2.0,2.4166666666666665,10.141712490551775,-1.8563903061224487,0.7950778790556693,0.9972793228635423,0.07371534568076461,0.934122765151349,122.42022923149678,1551.3123079612426,1660.715663759565,3.0091439830127698,0.08890390073193849,0.007630460839808769,0.3583269438044204,0.3333333333333333,8.0,1.0,0.15220920442130084,0.2857142857142857,0.42857142857142855,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408
O=C([O-])C(=O)OC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F.[Na+],,COOCOO-,C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,,346.0329999999999,77.45327436657456,21.0,21.0,15.0,4.0,5.0,346.0329999999999,346.0329999999999,75.66,-2.3592000000000004,33.080000000000005,118.0,1.0,-0.5390028654225192,0.8571428571428571,1.2380952380952381,1.5238095238095237,12.318085789871503,-7.072111914210129,0.28590600965238583,0.9357077355395336,0.35277618067477046,0.8873693984859881,856.291604012113,2153.9066615196016,2427.2942758613876,2.8030160227515,0.29812204320677027,0.0010362934709721098,0.7069527113218836,0.3333333333333333,8.0,1.0,0.152379200736147,0.2857142857142857,0.0,0.23809523809523808,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,409
