NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio
24.0,24.0,9.0,7.0,8.0,354.432,332.25600000000003,77.02,2.1214000000000004,94.49900000000005,132.0,0.22544205929379382,-0.490762436866322,1.0833333333333333,1.625,2.0833333333333335,12.196737213403878,-0.1845313681027958,0.2611590087425198,0.9209781429774344,0.38961424532200595,0.6799717512490637,1604.7388087439977,2800.6600661563675,4118.7888482304415,3.4677281356919574,0.17304363344961038,0.000423727367683758,0.7540297273837343,0.4666666666666667,8.0,1.0,0.07783427278331005,0.326086956521739,0.4782608695652172,0.08695652173913043,0.08695652173913043,0.0,0.021739130434782608,0.0,0.0,0.0,0.0
24.0,24.0,11.0,7.0,9.0,356.36000000000007,340.232,116.92,1.9635999999999998,86.82640000000004,130.0,0.3432875411437526,-0.4906232548014325,1.25,1.875,2.375,12.073280423280423,-0.6155587836986642,0.11575557718357135,0.8417802407702724,0.5398203647962369,0.8258386412062056,1841.7509236108422,2817.5837359695975,3411.7848153172918,3.365173149847836,0.5272903938444101,0.00044839865728809236,1.2973173308958659,0.5384615384615384,8.0,1.0,0.07783764211918939,0.325,0.4000000000000001,0.15,0.1,0.0,0.025,0.0,0.0,0.0,0.0
27.0,27.0,12.0,8.0,9.0,418.4970000000001,396.32100000000014,111.15999999999998,1.3056999999999999,101.04480000000005,150.0,0.24819818125478876,-0.4914235371558301,1.1111111111111112,1.7037037037037037,2.185185185185185,12.900816755344621,-3.930598873036868,0.25182834010702937,0.9244558561881402,0.3812890897461565,0.7922451239875706,1902.0986220202267,3952.1937531499802,4988.599656199317,3.599244869486827,0.27319388435623104,0.0004165110656281975,1.0273371164047433,0.4666666666666667,8.0,1.0,0.07778696210746301,0.30612244897959184,0.44897959183673486,0.12244897959183672,0.08163265306122448,0.0,0.04081632653061224,0.0,0.0,0.0,0.0
25.0,25.0,11.0,6.0,7.0,379.36000000000007,363.232,73.78,3.253820000000002,85.04000000000003,138.0,0.5727408246792431,-0.49079608827301036,1.24,1.88,2.4,12.841271080210474,-4.93709447436382,0.14641645934630848,0.8562666598050817,0.5165340330571148,0.6959766631391185,2101.2533993988127,2831.22357043531,4067.9863569928034,3.44422620890744,0.4403142559186305,0.00033121976784820126,1.0665846094825924,0.5,8.0,1.0,0.07783336099179158,0.34146341463414637,0.39024390243902446,0.0975609756097561,0.07317073170731708,0.07317073170731708,0.024390243902439025,0.0,0.0,0.0,0.0
28.0,28.0,14.0,6.0,7.0,433.33000000000004,420.226,73.78,3.9642000000000026,85.30500000000002,156.0,0.5727464639391968,-0.49079192065690974,1.1071428571428572,1.7142857142857142,2.1785714285714284,13.570129026166635,-5.46959447436382,0.1520693885993444,0.8617012433002924,0.5074159706736974,0.6986161689463898,2590.5902929445338,3566.754635971947,5105.4567508094015,3.6049466523303875,0.5186934390640365,0.00026967451041913856,1.264833095030297,0.5,8.0,1.0,0.07783340937678772,0.34146341463414637,0.3170731707317073,0.0975609756097561,0.07317073170731708,0.14634146341463414,0.024390243902439025,0.0,0.0,0.0,0.0
26.0,26.0,12.0,6.0,8.0,390.3430000000001,377.23900000000003,97.57,2.8170800000000016,85.01800000000003,140.0,0.572775649692461,-0.49077027544694507,1.3076923076923077,1.9615384615384615,2.4615384615384617,12.868198517852196,-5.0890389188082645,0.1609491493439453,0.8761228664462044,0.482087878804359,0.7549966425265757,2121.7322826525406,3322.839714858293,4401.131776875855,3.551282219338014,0.49006496760930335,0.0003558397299694646,1.1617483354599674,0.5,8.0,1.0,0.0778339671215646,0.35897435897435903,0.33333333333333337,0.10256410256410256,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.0,0.0,0.0,0.0
26.0,26.0,12.0,7.0,8.0,395.3590000000001,379.23100000000005,83.01,2.9540000000000015,86.85500000000003,144.0,0.5728647628438093,-0.4907041816780386,1.1153846153846154,1.7307692307692308,2.230769230769231,12.922053393135643,-5.017927807697153,0.22942693510217876,0.9146948890457005,0.4041450976489429,0.7680628035944517,1868.3172026248133,3550.6677106800994,4622.887209305482,3.563662201529261,0.3630470556383483,0.0004110987162754773,1.1028404081949073,0.5,8.0,1.0,0.07783561149237299,0.33333333333333337,0.38095238095238104,0.11904761904761904,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,0.0
29.0,29.0,15.0,7.0,8.0,449.32900000000006,436.225,83.01,3.844000000000003,86.98600000000002,162.0,0.5728648145107118,-0.4907041435184195,1.0,1.5517241379310345,2.0344827586206895,12.937359515584623,-5.410359780486268,0.17997385764319662,0.8893267597602569,0.45727225410505995,0.7652948276863011,2564.9627094703983,4292.743933496872,5609.2681907638525,3.72463156105519,0.47152187762598985,0.0002983648942967735,1.2669873859882002,0.5,8.0,1.0,0.07783561170584379,0.33333333333333337,0.30952380952380953,0.11904761904761904,0.07142857142857142,0.14285714285714285,0.023809523809523808,0.0,0.0,0.0,0.0
26.0,26.0,12.0,7.0,8.0,411.4270000000001,395.29900000000004,73.78,3.6673000000000027,92.08400000000003,144.0,0.572770541491182,-0.4907740588117808,1.2692307692307692,1.9230769230769231,2.423076923076923,12.968349689431939,-4.9512611410304865,0.23517506547362402,0.9144031480115908,0.4048047466452099,0.7226436897369696,2056.2875475363335,3670.8147145670923,5079.702164012819,3.6239921950569296,0.2947419432224632,0.00035143124345755,0.9725420513765124,0.5,8.0,1.0,0.07783389155774119,0.33333333333333337,0.38095238095238104,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.047619047619047616,0.0,0.0,0.0,0.0
29.0,29.0,15.0,7.0,8.0,465.39700000000005,452.293,73.78,4.557300000000002,92.21500000000002,162.0,0.5727705829731167,-0.4907740281929321,1.1379310344827587,1.7586206896551724,2.2413793103448274,13.033982508726375,-5.343693113819602,0.19224854160281718,0.8954464190998908,0.4451693054571292,0.7501867457846585,2707.7158127831913,4562.96624497868,6082.44049980654,3.7876045533184124,0.42606440834437065,0.00027705519990059847,1.2237266276419954,0.5,8.0,1.0,0.07783389172874146,0.33333333333333337,0.30952380952380953,0.09523809523809523,0.07142857142857142,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.0
25.0,25.0,12.0,6.0,7.0,444.22900000000004,431.125,73.78,3.707900000000003,88.00300000000003,138.0,0.5727702340700412,-0.4907742878813458,1.28,1.92,2.44,12.82043774687714,-4.96709447436382,0.2823836432909741,0.9325243858516663,0.3611070060134152,0.7294230162552712,1987.9276945179088,4015.5416286184463,5505.093120359057,3.5990848719304065,0.17873735218387168,0.0003669263315093375,0.7724362850702565,0.5384615384615384,8.0,1.0,0.07783388122664744,0.3421052631578947,0.3421052631578947,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.0
27.0,27.0,12.0,7.0,8.0,408.4020000000001,389.25000000000006,77.02,3.011400000000002,94.63000000000004,150.0,0.5728062069470194,-0.4907476102887604,1.1481481481481481,1.7407407407407407,2.185185185185185,13.086169039394147,-4.978761141030486,0.24410996867617143,0.9200437609581759,0.39181561725119496,0.7525605441429793,2026.4636445283413,3892.230212034925,5171.982828926304,3.6848523833855724,0.24315331460441855,0.00037136641763841634,0.9966857684434425,0.4666666666666667,8.0,1.0,0.07783454983402804,0.326086956521739,0.4130434782608694,0.08695652173913043,0.08695652173913043,0.06521739130434782,0.021739130434782608,0.0,0.0,0.0,0.0
27.0,27.0,14.0,7.0,9.0,410.3300000000001,397.22600000000006,116.92,2.853600000000001,86.95740000000002,148.0,0.5729788914519285,-0.49061950112016006,1.2962962962962963,1.9259259259259258,2.4074074074074074,12.882087406741086,-5.256538918808265,0.17371195574315448,0.8609107904518,0.5087559443226752,0.6250118986258133,2457.6975673773723,3019.306683245982,4830.7987254073105,3.544062902734869,0.2892400377922834,0.00025430789651338925,0.9259855235824203,0.5384615384615384,8.0,1.0,0.0778376854804936,0.325,0.325,0.15,0.1,0.07500000000000001,0.025,0.0,0.0,0.0,0.0
30.0,30.0,15.0,8.0,9.0,472.46700000000016,453.3150000000001,111.15999999999998,2.1957000000000004,101.17580000000004,168.0,0.5727744260502015,-0.49077118750802734,1.1666666666666667,1.7666666666666666,2.2333333333333334,13.222128978925515,-5.264651163706223,0.2435871897391145,0.9213834047012819,0.38865488745296106,0.7960201664514978,2413.395855564996,4942.975973491946,6209.61149203891,3.789002584447064,0.2734689044765728,0.00032983406539626413,1.0461491331713777,0.4666666666666667,8.0,1.0,0.07783392483150164,0.30612244897959184,0.3877551020408164,0.12244897959183672,0.08163265306122448,0.061224489795918366,0.04081632653061224,0.0,0.0,0.0,0.0
22.0,22.0,8.0,6.0,7.0,341.458,322.306,64.55,3.0771200000000016,90.13800000000005,120.0,0.22544075079555576,-0.49328325052791316,1.3636363636363635,2.0454545454545454,2.590909090909091,12.107294028722599,-0.127818405139833,0.1293961106745026,0.8450499168498091,0.5346874208658089,0.7207432390121178,1806.598250628554,2435.2423938517113,3378.7932540158977,3.3405033004966085,0.3160451415173257,0.0003989504798653247,1.0500424768501504,0.5,8.0,1.0,0.07769016524189166,0.34146341463414637,0.4634146341463416,0.07317073170731708,0.07317073170731708,0.0,0.04878048780487805,0.0,0.0,0.0,0.0
25.0,25.0,11.0,6.0,7.0,395.428,379.3,64.55,3.787500000000003,90.40300000000003,138.0,0.4193296221294523,-0.49327698528921027,1.32,1.96,2.44,13.615962359499967,-4.639753204522551,0.1793265411142518,0.890594260987131,0.45479870524968063,0.80529546202177,1969.9486524340568,3488.116153167437,4331.4737480454605,3.5182962354059266,0.4427045486514971,0.00040879007735899705,1.206436376298984,0.5,8.0,1.0,0.07769023818913094,0.34146341463414637,0.39024390243902446,0.07317073170731708,0.07317073170731708,0.07317073170731708,0.04878048780487805,0.0,0.0,0.0,0.0
23.0,23.0,9.0,6.0,8.0,352.44100000000003,336.31300000000005,88.33999999999999,2.6403800000000013,90.11600000000004,122.0,0.2254407580242083,-0.4932444981181191,1.434782608695652,2.130434782608696,2.652173913043478,12.111827207734944,-0.20573082010581922,0.14914557016757396,0.8477756689987785,0.5303549896566199,0.6536802494899291,1930.1854338591165,2379.0180550271843,3639.421654369315,3.358054944901938,0.3821659813485164,0.0003386618912479271,1.0140671042808114,0.5,8.0,1.0,0.07769108100561217,0.35897435897435903,0.41025641025641035,0.07692307692307693,0.10256410256410256,0.0,0.05128205128205128,0.0,0.0,0.0,0.0
23.0,23.0,9.0,7.0,8.0,357.45700000000005,338.305,73.78,2.777300000000001,91.95300000000005,126.0,0.22544077818438757,-0.49314526825031335,1.2173913043478262,1.8695652173913044,2.391304347826087,12.145584923784327,-0.16363898337112537,0.1483034300127423,0.8650301673483916,0.5017198516873871,0.740067426650808,1866.4187685403774,2753.0816858071944,3720.041697100936,3.4154206756244205,0.4881216399734347,0.000396517351371029,1.308958848784737,0.5,8.0,1.0,0.07769356613735066,0.33333333333333337,0.45238095238095255,0.09523809523809523,0.07142857142857142,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
26.0,26.0,12.0,7.0,8.0,411.427,395.29900000000004,73.78,3.6673000000000027,92.08400000000003,144.0,0.5727154022857835,-0.4931452105029883,1.2692307692307692,1.9230769230769231,2.423076923076923,12.879787497388506,-4.917520468548607,0.22268965714143552,0.9118479847198364,0.4105280170248715,0.7708254824129256,2038.155254340481,3826.930055943682,4964.716584049856,3.6278461721317767,0.25256187423826837,0.00037819762786537773,0.93897871453398,0.5,8.0,1.0,0.07769356646021039,0.33333333333333337,0.38095238095238104,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.047619047619047616,0.0,0.0,0.0,0.0
23.0,23.0,9.0,7.0,8.0,373.52500000000003,354.37300000000005,64.55,3.4906000000000024,97.18200000000004,126.0,0.22544075720103982,-0.49325018177422425,1.2173913043478262,1.8695652173913044,2.391304347826087,12.171626590450995,-0.12962537792894846,0.21741797580360525,0.9071773237533508,0.42074850358344495,0.7331622347011992,1781.8698677295736,3104.941985639772,4234.99989317534,3.4943444887594683,0.170500320817502,0.0004114566658200362,0.8248524240895189,0.5,8.0,1.0,0.07769096686817874,0.33333333333333337,0.45238095238095255,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
26.0,26.0,12.0,7.0,8.0,427.495,411.367,64.55,4.380600000000003,97.31300000000003,144.0,0.4460385967465993,-0.49325013491611397,1.2692307692307692,1.9230769230769231,2.423076923076923,13.064972682573693,-4.50085380188194,0.2456443505220459,0.9221599223018329,0.38680883870495725,0.7948404148906956,2107.1741062979895,4329.96088327327,5447.585203463409,3.7283267176745785,0.24882295745880384,0.00037720680626961536,0.9569894687582445,0.5,8.0,1.0,0.07769096713023702,0.33333333333333337,0.38095238095238104,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0
