NumAtoms,NumHeteroatoms,NumHAcceptors,TPSA,MolLogP,MinPartialCharge,FpDensityMorgan1,MaxEStateIndex,MinEStateIndex,Eccentricity,NPR2,SpherocityIndex,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,P_ratio
0.4375,0.375,1.0,0.5586793396698349,0.14095677081994645,0.012631409294498575,0.7043534762833009,0.38582112738552166,0.4449625169620589,0.7783841576912134,0.5226142478138829,0.29653994794150673,0.5568019809730071,0.31999999999999984,1.0,0.0,0.313745898698469,0.05250164581961858,0.6310832025117737,0.07532467532467524,0.0,0.49231827562485675,0.0,0.0,0.0
0.3125,0.3125,0.6000000000000001,0.18469234617308644,0.41913484522657013,0.01248869786308937,0.7789473684210527,0.40826418785980323,0.34279040652228654,0.5376199505095447,0.23013357530007972,0.29940556630329485,0.4350043273483768,0.5142857142857142,1.0,0.0,0.31374245861974215,0.28806058221872544,0.4090056285178236,0.012860310421286103,0.18292682926829268,0.34886270211016723,0.0,0.0,0.0
0.5,0.5,0.6000000000000001,0.18469234617308644,0.520572200470075,0.012517033657227117,0.6052631578947368,0.6405386364656067,0.24682671985834548,0.627778026781415,0.42627067494406057,0.6210507106264642,0.6451164721170504,0.5142857142857142,1.0,0.0,0.3137427788589135,0.28806058221872544,0.4090056285178236,0.012860310421286103,0.3658536585365853,0.34886270211016723,0.0,0.0,0.0
0.375,0.375,0.8,0.42271135567783874,0.3567713911188413,0.012663704633253392,0.8582995951417004,0.4185118557138301,0.32042069044800014,0.628314146708485,0.47904266920650396,0.612676713877641,0.6887906609928067,0.5142857142857142,1.0,0.0,0.31374647309933107,0.40477667493796554,0.4378698224852071,0.22983682983682974,0.1923076923076923,0.3777009507346586,0.0,0.0,0.0
0.375,0.375,0.8,0.2770385192596298,0.37632262099572505,0.013111745752403703,0.622132253711201,0.4390071914218865,0.330889881151871,0.8137458028500011,0.5627274523004708,0.39408058760530307,0.5966784384882406,0.5142857142857142,1.0,0.0,0.3137573663951402,0.23387096774193594,0.5787545787545786,0.0,0.17857142857142852,0.3354735152487962,0.0,0.0,0.0
0.5625,0.5625,0.8,0.2770385192596298,0.5034084710572688,0.013112007129623127,0.5553539019963704,0.444832181570491,0.22655422590528396,0.7429231021391303,0.3879183389675116,0.33743133868054564,0.4520221069453111,0.5142857142857142,1.0,0.0,0.31375736781355223,0.23387096774193594,0.5787545787545786,0.0,0.35714285714285704,0.3354735152487962,0.0,0.0,0.0
0.375,0.375,0.8,0.18469234617308644,0.478176932061904,0.012638026019688109,0.7165991902834007,0.45662598878495153,0.34070474743674983,0.8181991894548104,0.5310538674058451,0.36840923666807945,0.6021198055574599,0.5142857142857142,1.0,0.0,0.31374597263032356,0.23387096774193594,0.39560439560439553,0.0,0.17857142857142852,0.6099518459069021,0.0,0.0,0.0
0.5625,0.5625,0.8,0.18469234617308644,0.6052627821234478,0.012638238121358558,0.4706594071385358,0.4624509789335569,0.2829297373542039,0.6584669802893108,0.3636434060178526,0.4980057792698671,0.6504355059061966,0.5142857142857142,1.0,0.0,0.31374597378167746,0.23387096774193594,0.39560439560439553,0.0,0.35714285714285704,0.6099518459069021,0.0,0.0,0.0
0.3125,0.375,0.6000000000000001,0.18469234617308644,0.48397433151414954,0.012636484675785375,0.8280701754385965,0.40033572904642334,0.3383737166940911,0.6886745269754946,0.3209796752946963,0.5554309643292953,0.6306853004394042,0.7384615384615381,1.0,0.0,0.3137459042038325,0.29233870967741904,0.45344129554655865,0.05550239234449761,0.19736842105263153,0.3932584269662921,0.0,0.0,0.0
0.4375,0.375,0.8,0.21710855427713843,0.3845189443592449,0.012817287732838967,0.6588693957115012,0.5014640302374866,0.3366561150942373,0.804215352395532,0.5082957313930077,0.22809586667083753,0.5310709037838091,0.31999999999999984,1.0,0.0,0.313750332976089,0.18557152875175253,0.3478260869565216,0.11462450592885376,0.16304347826086954,0.2877381533952126,0.0,0.0,0.0
0.4375,0.5,1.0,0.6163081540770383,0.3619861947640633,0.013686036543040903,0.8408057179987006,0.4237974949227503,0.2957608389072418,0.7570555671369692,0.6133901927141456,0.361785775494185,0.572404303993554,0.7384615384615381,1.0,0.0,0.31377110988088475,0.17832661290322616,0.8076923076923076,0.21090909090909093,0.1875,0.36292134831460676,0.0,0.0,0.0
0.625,0.5625,1.0,0.5586793396698349,0.26804262088149045,0.012657556897288647,0.6725146198830411,0.5532057637179992,0.2945665299230871,0.7135021510607786,0.586321477738226,0.4643501509281214,0.7997889866031784,0.31999999999999984,1.0,0.0,0.3137461929247693,0.05250164581961858,0.6310832025117737,0.07532467532467524,0.1530612244897959,0.49231827562485675,0.0,0.0,0.0
0.1875,0.125,0.6000000000000001,0.21710855427713843,0.19839100746236693,0.017015547840274703,0.6529366895499619,0.08689954921348075,0.9878004105350195,0.573875640613275,0.15539424279862835,0.3531016945250437,0.5095831440221843,0.31999999999999984,1.0,0.0,0.3139901122332045,0.23387096774193505,0.3589743589743589,0.12888888888888894,0.0,0.04269662921348319,0.0,0.0,0.0
